MonthYear,Percent
200907,0.001
200908,0.0
200909,0.001
200910,0.001
200911,0.0
200912,0.003
201001,0.002
201002,0.004
201003,0.003
201004,0.006
201005,0.003
201006,0.002
201007,0.002
201008,0.001
201009,0.002
201010,0.002
201011,0.002
201012,0.003
201101,0.002
201102,0.006
201103,0.009000000000000001
201104,0.009000000000000001
201105,0.006
201106,0.006
201107,0.001
201108,0.002
201109,0.002
201110,0.002
201111,0.002
201112,0.003
201201,0.003
201202,0.002
201203,0.006
201204,0.003
201205,0.009000000000000001
201206,0.002
201207,0.001
201208,0.001
201209,0.006
201210,0.003
201211,0.002
201212,0.001
201301,0.006
201302,0.006
201303,0.005
201304,0.006
201305,0.009000000000000001
201306,0.003
201307,0.003
201308,0.001
201309,0.003
201310,0.003
201311,0.002
201312,0.003
201401,0.001
201402,0.003
201403,0.003
201404,0.002
201405,0.002
201406,0.001
201407,0.001
201408,0.001
201409,0.001
201410,0.001
201411,0.001
201412,0.0
199704,0.039
199705,0.019
199706,0.027999999999999997
199707,0.031
199708,0.033
199709,0.04
199710,0.046
199711,0.006999999999999999
199712,0.021
199801,0.019
199802,0.025
199803,0.08900000000000001
199804,0.031
199805,0.017
199806,0.027000000000000003
199807,0.021
199808,0.024
199809,0.044000000000000004
199810,0.021
199811,0.017
199812,0.028999999999999998
199901,0.023
199902,0.011000000000000001
199903,0.034
199904,0.025
199905,0.022000000000000002
199906,0.022000000000000002
199907,0.038
199908,0.036000000000000004
199909,0.026000000000000002
199910,0.02
199911,0.019
199912,0.01
200001,0.01
200002,0.017
200003,0.013000000000000001
200004,0.018000000000000002
200005,0.012
200006,0.013000000000000001
200007,0.009000000000000001
200008,0.013999999999999999
200009,0.015
200010,0.011000000000000001
200011,0.012
200012,0.013999999999999999
200101,0.006999999999999999
200102,0.008
200103,0.017
200104,0.005
200105,0.006
200106,0.008
200107,0.006999999999999999
200108,0.011000000000000001
200109,0.005
200110,0.002
200111,0.003
200112,0.002
200201,0.006999999999999999
200202,0.006
200203,0.003
200204,0.002
200205,0.003
200206,0.001
200207,0.005
200208,0.012
200209,0.004
200210,0.003
200211,0.002
200212,0.003
200301,0.001
200302,0.006
200303,0.002
200304,0.004
200305,0.003
200306,0.003
200307,0.002
200308,0.004
200309,0.002
200310,0.006
200311,0.009000000000000001
200312,0.009000000000000001
200401,0.002
200402,0.017
200403,0.018000000000000002
200404,0.004
200405,0.004
200406,0.004
200407,0.006999999999999999
200408,0.004
200409,0.0
200410,0.005
200411,0.005
200412,0.004
200501,0.006
200502,0.0
200503,0.004
200504,0.0
200505,0.001
200506,0.001
200507,0.001
200508,0.0
200509,0.002
200510,0.001
200511,0.002
200512,0.003
