pub_date	keywords	headline	source	document_type	web_url	news_desk	section_name	snippet	lead_paragraph
2014-10-31T01:58:39Z		Hong Kong Protesters: Images of Determination	AP	article	http://www.nytimes.com/aponline/2014/10/31/world/asia/ap-as-hong-kong-portraits-of-protest-photo-gallery.html	None	World	On the evening of Sept. 28, Hong Kong police struggling to hold back thousands of democracy protesters unleashed dozens of rounds of tear gas in a failed attempt to disperse them. When the smoke cleared, Hong Kong had changed. Many young people who...	On the evening of Sept. 28, Hong Kong police struggling to hold back thousands of democracy protesters unleashed dozens of rounds of tear gas in a failed attempt to disperse them. When the smoke cleared, Hong Kong had changed. Many young people who previously were indifferent to politics say they experienced an awakening.
2014-10-31T18:43:14Z		Worst Ebola Outbreak on Record Tests Global Response	Reuters	article	http://www.nytimes.com/reuters/2014/10/31/world/africa/31reuters-health-ebola.html	None	World	Global health authorities are struggling to contain the world's worst Ebola epidemic since the disease was identified in 1976.  The virus has killed more than 4,900 people. 	Global health authorities are struggling to contain the world's worst Ebola epidemic since the disease was identified in 1976.  The virus has killed more than 4,900 people. 
2014-11-01T14:04:14Z		French Police Clash With Demonstrators Over Protester Death	Reuters	article	http://www.nytimes.com/reuters/2014/11/01/world/europe/01reuters-france-protests.html	None	World	French riot-control officers clashed with hooded demonstrators in Nantes and Toulouse on Saturday, a week after the death of a young activist apparently killed by a police grenade.	French riot-control officers clashed with hooded demonstrators in Nantes and Toulouse on Saturday, a week after the death of a young activist apparently killed by a police grenade.
2014-11-01T12:55:42Z		Police, Youths Clash at Protests in French Cities	AP	article	http://www.nytimes.com/aponline/2014/11/01/world/europe/ap-eu-france-protest.html	None	World	Projectile-throwing youths clashed with police in two French cities on the sidelines of demonstrations Saturday honoring a protester who was killed during a similar confrontation over a dam project last week.	Projectile-throwing youths clashed with police in two French cities on the sidelines of demonstrations Saturday honoring a protester who was killed during a similar confrontation over a dam project last week.
2014-11-01T21:23:38Z		Police Reputation and Morale at Stake in Hong Kong Protests	Reuters	article	http://www.nytimes.com/reuters/2014/11/01/world/asia/01reuters-hongkong-china-police.html	None	World	Hong Kong police have been pushed and pulled in all directions during weeks of pro-democracy street protests, obeying orders to clear protest sites, allow protest sites to stay put, push back demonstrators and protect them from attack.	Hong Kong police have been pushed and pulled in all directions during weeks of pro-democracy street protests, obeying orders to clear protest sites, allow protest sites to stay put, push back demonstrators and protect them from attack.
2014-11-01T02:06:38Z		Hong Kong Protests Promise Political Game Change	AP	article	http://www.nytimes.com/aponline/2014/11/01/world/asia/ap-as-hong-kong-game-changer.html	None	World	Like thousands of young people from all over Hong Kong, secondary school teacher Li Hiu Fung had come out to the streets of this anxious city every night to demand that his government give him a real voice in choosing his leaders. He helped build a...	Like thousands of young people from all over Hong Kong, secondary school teacher Li Hiu Fung had come out to the streets of this anxious city every night to demand that his government give him a real voice in choosing his leaders. He helped build a sprawling protest camp on one of the city's busiest thoroughfares.
2014-11-01T11:30:00Z	Hong Kong; China; Demonstrations, Protests and Riots; Democracy (Theory and Philosophy)	Hong Kong’s Occupy Generation	The New York Times	article	http://www.nytimes.com/2014/11/01/opinion/hong-kongs-occupy-generation.html	OpEd	Opinion	A new force is coming of age: young, dedicated to democracy, with little affinity for the cultural identity of mainland China.	A new force is coming of age: young, dedicated to democracy, with little affinity for the cultural identity of mainland China.
2014-11-02T12:51:23Z		Jerusalem on Edge in Row Over Contested Shrine	AP	article	http://www.nytimes.com/aponline/2014/11/02/world/middleeast/ap-mideast-holy-flashpoint.html	None	World	This combustible city at the center of the Israeli-Palestinian conflict has been edging toward a new conflagration, with politicians on both sides stoking religious fervor over an ancient Jerusalem shrine sacred to Muslims and Jews.	This combustible city at the center of the Israeli-Palestinian conflict has been edging toward a new conflagration, with politicians on both sides stoking religious fervor over an ancient Jerusalem shrine sacred to Muslims and Jews.
2014-11-02T14:35:45Z		AP Exclusive: Ferguson No-Fly Zone Aimed at Media	AP	article	http://www.nytimes.com/aponline/2014/11/02/us/politics/ap-us-ferguson-no-fly.html	None	U.S.	The U.S. government agreed to a police request to restrict more than 37 square miles of airspace surrounding Ferguson, Missouri, for 12 days in August for safety, but audio recordings show that local authorities privately acknowledged the purpose was...	The U.S. government agreed to a police request to restrict more than 37 square miles of airspace surrounding Ferguson, Missouri, for 12 days in August for safety, but audio recordings show that local authorities privately acknowledged the purpose was to keep away news helicopters during violent street protests.
2014-11-02T00:00:00Z	France; Demonstrations, Protests and Riots; Levees and Dams; Hollande, Francois	In France, Dam Is the Catalyst for a Flood of Young People&#8217;s Anger 	The New York Times	article	http://www.nytimes.com/2014/11/02/world/in-france-dam-is-the-catalyst-for-a-flood-of-young-peoples-anger.html	Foreign	World	What had been a local protest has turned into a national drama, spawning vigils and front-page news coverage, while prompting criticism of the government of President François Hollande.	What had been a local protest has turned into a national drama, spawning vigils and front-page news coverage, while prompting criticism of the government of President François Hollande.
2014-11-03T12:01:31Z		St. Louis Police Deny No-Fly Zone During Protests Aimed at Media	Reuters	article	http://www.nytimes.com/reuters/2014/11/03/us/03reuters-usa-missouri-shooting.html	None	U.S.	St. Louis County police defended on Monday a no-fly zone imposed over the suburb of Ferguson during August street protests, saying it was for safety reasons, after an Associated Press report said the prohibition was to keep news helicopters away.	St. Louis County police defended on Monday a no-fly zone imposed over the suburb of Ferguson during August street protests, saying it was for safety reasons, after an Associated Press report said the prohibition was to keep news helicopters away.
